peptide,total_mean,total_std,total_min,total_max,total_cv
P1_Linear,9.0,2.8284271247461903,4,15,0.3142696805273545
P2_Capped,9.0,2.8284271247461903,4,15,0.3142696805273545
P3_Cyclized,13.4,4.427188724235731,6,23,0.3303872182265471
P4_RetroEnantio,9.0,2.8284271247461903,4,15,0.3142696805273545
P5_Scrambled_1,0.2,0.4000000000000001,0,1,0.4000000000000001
P5_Scrambled_2,0.2,0.4000000000000001,0,1,0.4000000000000001
P5_Scrambled_3,0.2,0.4000000000000001,0,1,0.4000000000000001
P5_Scrambled_4,0.2,0.4000000000000001,0,1,0.4000000000000001
P5_Scrambled_5,0.2,0.4000000000000001,0,1,0.4000000000000001
